Prompt,BIO Tags
سلام یک دکتر فوق تخصص زنان خانوم تو اصفهان سمت چهارباغ بالا میخوام که کارش خوب باشه و اکثرا ازش راضی بوده باشن و برای فردا بهم نوبت بده و تایم انتظار توی مطب کمتر از نیم ساعت باشه,O O O B-ScientificRate I-ScientificRate B-Specialty O O B-City O B-Neighborhood I-Neighborhood O O O B-Trait O B-ScientificRate O O B-Trait O O B-ScientificRate O B-Appointment O O O B-ScientificRate O O O O B-WaitingTime I-WaitingTime B-WaitingTime I-WaitingTime O
سلام. یک متخصص مو داخل قم سمت پارک ملی برام پیدا کن که معاینه م کنه و مشکل ریزش مو روحضوری کامل برام حل کنه برام و اطلاعات کافی برای نگهداری مو هام رو بهم بده و حداکثز نیم ساعت اتلاف وقت داشته باشه.,O O B-ScientificRate B-Condition O B-City O B-Neighborhood I-Neighborhood O O O O B-Service B-Condition O B-Condition O B-Condition I-Condition O O O O O O B-Condition O O O O B-Condition O O O O B-Condition O B-WaitingTime I-WaitingTime O O O O
سلام. یک تخصص پوست و مو مرد درون قم سمت پارک ملی برام پیدا کن که همین ماه مشکل ریزش مو رو کامل حل کنه برام و اطلاعات کافی برای نگهداری مو هام رو بهم بده و به بیمارش توجه کافی داشته باشه.,O O B-ScientificRate B-Specialty B-Condition I-Condition B-Gender O B-City O B-Neighborhood I-Neighborhood O O O O B-Appointment I-Appointment O B-Condition I-Condition O O O O O B-Condition O B-Trait O O B-Condition O O O O B-Condition O O B-Trait I-Trait O O
سلام، یک متخصص تغذیه شهر علویجه معرفی کن با تامین اجتماعی قرارداد داشته باشه و برای لاغری کارش معتبر باشه.,O O O B-Specialty O B-City O O O B-Insurance I-Insurance O O O B-City O B-Condition O B-Trait O
سلام، یک متخصص تغذیه مرد شهر گراش معرفی کن برای مشکل چاقی معروف باشه و شنبه ساعت 8 صبح بهم نوبت بده 15 دقیقه میتونم تو مطب منتظر بمونم.,O O O B-Specialty B-Gender O B-City O O O O B-Condition O O O B-Appointment I-Appointment O B-Appointment O O O O B-WaitingTime O O O O O
سلام، یک پزشک عمومی تو یاسوج معرفی کن برای حساسیت فصلی,O O O B-Specialty O B-City O O O B-Condition I-Condition
دنبال یک خانم دکتر شوخ میگردم برای کمک به سردردم در شهر اصفهان به‌صورت آنلاین,O O B-Gender O B-Trait O O O O O B-Condition O B-City O B-VisitType
سلام یه دکتر متخصص سمت سینما سعدی شیراز واسه معده درد بهم معرفی کن که تا فردا بهم نوبت بده و طرف قرارداد بیمه بانک ملی باشه. ترجیحا بیشتر از یک ساعت تو مطب معطل نشم,O O O B-ScientificRate O B-Neighborhood I-Neighborhood B-City O B-Condition I-Condition O O O O O B-Appointment O O O O O O O B-Insurance I-Insurance O O O B-City B-WaitingTime I-WaitingTime O O O O
سلام. لطفا یه دندانپزشک فوق تخصص عصب‌کشی خانم تو اصفهان نزدیک محله کاوه پیدا کن که باحوصله باشه و با بیماری که ترس زیاد داره راه بیاد، و مطبش با بیمه تامین اجتماعی یا نیروهای مسلح طرف قرارداد باشه. کارم فوری هست، اولین نوبتش حداقل تا یکی دو روز آینده باشه. ,O O O B-Specialty B-ScientificRate I-ScientificRate B-Service B-Gender O B-City O O B-Neighborhood O O O B-Trait O B-Neighborhood B-Trait O O B-Trait I-Trait O B-Trait O B-Neighborhood O B-Trait O B-Insurance I-Insurance B-Trait B-Insurance I-Insurance O O O O O O O O O B-Insurance B-Appointment I-Appointment B-Appointment I-Appointment O
سلام برای من یک پزشک برای مشکل بوی دهان پیدا کن ,O O O O O O O B-Condition I-Condition O O
لطفا یه متخصص اطفال برای سرماخوردگی تو اصفهان نزدیک محله برازنده پیدا کن که توی کارش حرفه‌ای و شهره باشه. طرف قرار داد با نیروهای مسلح باشه. معطلی توی مطبش کمتر از نیم ساعت باشه و اولین نوبت آزادش برای امروز باشه.,O O B-ScientificRate B-Specialty O B-Condition O B-City O O B-Neighborhood O O O O O B-Trait B-Condition B-Trait O O O O O B-Insurance I-Insurance O O O O B-WaitingTime B-Neighborhood B-WaitingTime I-WaitingTime O B-Condition O O O O B-Appointment O
سلام چشم پزشک متخصصی که خوش اخلاق باشه با ویزیت آنلاین توی اصفهان نزدیک دانشگاه پيدا کن. نوبت دهیش حداکثر تا 7 روز آینده باشه.,O B-Specialty I-Specialty O O B-Trait I-Trait O O O B-VisitType O B-City O B-Neighborhood O O O O O O B-Appointment I-Appointment B-Appointment O
توی لار برام فوق تخصص گوش و حلق و بینی آقا و مهربون پیدا کن,O B-City O B-ScientificRate I-ScientificRate B-Specialty I-Specialty B-Specialty I-Specialty B-Specialty B-Gender B-Specialty B-Trait O O
دنبال یه پزشک اطفال خانم و با سابقه در مشهد نزدیک حرم میگردم که امروز دخترم رو ویزیت کنه,O O O B-Specialty B-Gender B-Service B-Trait I-Trait O B-City B-Neighborhood I-Neighborhood O O B-Appointment O B-Appointment B-Service O
یه دکتر خوب برای میگرن تو اصفهان سمت هزارجریب برام پیدا کن که کارش رو خوب بلد باشه,O O B-Trait O B-Condition O B-City O B-Neighborhood O O O O O O B-Trait I-Trait O
سلام.یک فوق تخصص پوست مرد شیرازی برای بلفاروپلاستی و لیزر صورت پیدا کن که سمت عفیف آباد باشه و خوش برخورد و مهربان باشه. و تحت پوشش  بیمه تجارت باشه و حدود  نیم ساعت بیشتر تو مطب منتظر نمونم.,O B-ScientificRate I-ScientificRate B-Specialty B-Gender O O B-Service B-Specialty B-Service I-Service O O O O B-Neighborhood I-Neighborhood O B-Specialty B-Trait I-Trait B-Specialty B-Trait O B-Specialty O O O O O B-Specialty B-WaitingTime I-WaitingTime B-WaitingTime O O O O O
سلام.یک فوق تخصص پوست خانوم واسه هفته آینده توی شیراز برام پیدا کن که طرفای باغ حوض بشینه و خیلی ماهر و  خوش برخورد باشه. و تحت پوشش  بیمه  بانک باشه,O B-ScientificRate I-ScientificRate B-Specialty B-Gender O B-Appointment I-Appointment O B-City O O O O O B-Neighborhood I-Neighborhood O B-Neighborhood B-Trait I-Trait B-Neighborhood B-Trait I-Trait O B-Neighborhood O O O B-Insurance O
سلام.یه پزشک پوست مجرب در یزد برای افتادگی پلک بالا و جای جوش پیدا کن,O O B-Specialty B-Trait O B-City O B-Condition I-Condition B-Condition I-Condition B-Condition I-Condition O O
با سلام لطفاً پزشک زن فوق تخصص زنان و زایمان در شیراز در خیابان زند   معرفی کنید که قادر به جراحی عمل فیبروم  در بیمارستان دولتی باشد .با تجربه و مهارت بالا و  خوش اخلاق  بین نیم ساعت تا چهل و پنج دقیقه معطلی قابل قبول است.,B-Neighborhood O O O B-Neighborhood B-ScientificRate I-ScientificRate B-Specialty B-Condition B-Specialty O B-City O B-Neighborhood I-Neighborhood O O O O B-Trait B-Service O B-Condition O O O O O B-Trait B-Condition B-Trait I-Trait B-Condition B-Trait I-Trait B-WaitingTime I-WaitingTime B-WaitingTime I-WaitingTime B-WaitingTime B-Condition B-WaitingTime I-WaitingTime O O O O
با سلام لطفاً پزشک زنان و زایمان در شیراز در خیابان صورتگر معرفی کنید که در بیمارستان دولتی لاپاروسکوپی انجام دهد .با تجربه و دارای بورد تخصصی. و بیمه سینا قبول کند,B-Neighborhood O O O B-Specialty B-Neighborhood B-Specialty O B-City O B-Neighborhood I-Neighborhood O O O O O O B-Service O O O B-Trait B-Neighborhood O B-ScientificRate O B-Neighborhood O B-Insurance O O
با سلام لطفاً جراح زیبایی تبریزی معرفی کنید که در هفته آینده برام معاینه غیرحضوری انجام دهد,B-Specialty O O B-Specialty I-Specialty O O O O O B-Appointment I-Appointment O B-Service B-VisitType O O
من یک دکتر عمومی برای گلودرد میخواستم در شهر اردبیل که دارای ویزیت مجازی باشه و با بیمه تامین اجتماعی قرارداد داشته باشه,O O O B-Specialty O B-Condition O B-Condition O B-City O O B-Service B-VisitType O B-Condition O O B-Insurance I-Insurance O O O
سلام یک متخصص گوارش تو اصفهان سمت هزارجریب پیدا کن که  باحوصله باشه و برای هفته دیگه نوبت بده,O O O B-Specialty O B-City O B-Neighborhood O O O B-Trait O B-Specialty O B-Appointment I-Appointment O O
سلام من نفخ کردم یک بانوی متخصص گوارش تو گرگان پیدا کن که تجربه زیادی داشته باشه  و برای سه هفته بعد نوبت بده,O O B-Condition O O O O B-Specialty O B-City O O O B-Trait O O O B-Specialty O B-Appointment I-Appointment B-Appointment O O
یه دندانپزشک فوق تخصص آقای ماهر برای عصب کشی تو اصفهان سمت شهدا که کارش خوب باشه و طرف قرداد بیمه تامین اجتماعی باشه. ,O O B-Specialty I-Specialty O B-Trait O B-Service I-Service O B-City O B-Neighborhood O O O O B-Specialty O O O B-Insurance I-Insurance O
یه روانپزشک تو مشهد طرفای وکیل‌آباد پیدا کن که بدون اذیت راحت برام آسنترا تجویز کنه چون داروخونه بدون نسخه اینو نمیده و منم خیلی دچار افسردگی شدم هر جایی هم میرم اینو تجویز نمیکنن میگن توصیه نمیشه. ترجیحا آقا باشه,O B-Specialty O B-City O B-Neighborhood O O O B-Trait I-Trait O O B-Service I-Service O O O B-Trait O O O B-Neighborhood O O O B-Condition O O O O O O B-Service O O O O O B-Gender O
دنبال یه دندونپزشک میگردم که دندون آسیا رو برام با کمترین قیمت پر کنه متریالش هم هر چی بود مهم نیست. تو مشهد باشه طرفای سناباد. آقا باشه,O O B-Specialty O O B-Specialty B-Service O O B-Neighborhood O O B-Service I-Service O O O O O O O O B-City O O O B-Gender O
سلام یک دکتر زیبایی میخوام اطراف هاشمیه مشهد که برای بیمار عرب هم خدمات قبلا انجام داده باشه,O O O B-Specialty O O B-Neighborhood B-City O O O O O O O O O O
سلام. می‌خوام که که برم پیش یک دکتر متخصص داخلی که درباره‌ی کبدم باهاش صحبت بکنم و ببینم که کبدم چرب هست یا نه. لطفا متخصصی در مشهد برام پیدا کن که بتونم این کار رو به‌صورت حضوری باهاش انجام بدم.  نمی‌خوام که از نظر زمانی خیلی تو نوبت باشم حداکثر 2 ساعت میتونم برای این کار وقت بذارم. پزشکی که بهم پیشنهاد میدی از نظر مکانی نزدیک امامت باشه.,O O O O O O O O B-ScientificRate B-Specialty O O O O B-Service O B-VisitType O O O B-Condition O O O O O O B-City O O O O O O O O O B-VisitType O O O O O O O O O O O O O B-WaitingTime I-WaitingTime O O O O O O O O O O O O O O O B-Neighborhood O
یه جراح قلب بامرام میخوام,O B-Specialty I-Specialty B-Trait O
یک دکتر متخصص حلق و گوش و بینی خوب در اصفهان خیابان امادگاه بهم معرفی کن که بهم مشاوره برای عمل لوزه سوم بده و سابقه خوبی داشته باشه و بیمارانی که بهش مراجعه کردن ازش راضی بوده باشند.,O O B-ScientificRate B-Specialty I-Specialty B-Specialty I-Specialty B-Specialty B-Trait O B-City O B-Neighborhood O O O O O B-Service O B-Service I-Service B-Service O B-Specialty B-Trait O O O B-Specialty O O O O O O B-Trait O O
سلام درد کتف دارم توی مشهد محله باهنر یک پزشک ارتوپد مذکر که دکتری تخصصی داشته باشه و مطبش 8 صبح بهم آنلاین نوبت بده و کمتر از ده دقیقه معطلی داشته باشم پیدا کن. بیمه پاسارگاد قبول کنه و دقیق باشه,O B-Condition I-Condition O O B-City O B-Neighborhood O O B-Specialty B-Gender O B-ScientificRate I-ScientificRate O O B-Specialty O B-Appointment I-Appointment O B-VisitType O O B-Specialty B-WaitingTime I-WaitingTime B-WaitingTime I-WaitingTime O O O O O O B-Insurance O O B-Specialty B-WaitingTime O
سلام یک پزشک ارتوپد که مطبش صبح زود باز باشه و کمترین معطلی رو داشته باشم پیدا کن.,O O O B-Specialty O O B-Appointment I-Appointment O O B-Specialty B-WaitingTime I-WaitingTime O O O O O
سلام یک دکتر مرد فوق تخصص اطفال خوش رو و صبور در مشهد پیدا کن که امروز منو حضوری ویزیت کنه بیشتر از 20 دقیقه معطلم نکنه و با بیمه تامین اجتماعی قرارداد داشته باشه.,O O O B-Gender B-ScientificRate I-ScientificRate B-Specialty B-Trait B-Appointment B-Service B-Trait O B-City O O O B-Appointment O B-VisitType B-Service O O O O B-WaitingTime O O B-Service O O B-Insurance I-Insurance O O O
سلام .یک   فوق تخصص مغز و اعصاب توی لارستان فارس  برای درمان میگرن  برام پیدا کن که بتونم  طی دو روز آینده حضوری ویزیت بشم و طرف قرار داد بانک ملی  باشه و خوش برخورد و با تجربه باشه ,O O B-Specialty I-Specialty B-Specialty I-Specialty B-Specialty O B-City I-City O O B-Condition O O O O O O B-Appointment I-Appointment B-Appointment B-VisitType B-Service O B-Specialty O O O B-Insurance I-Insurance O B-Specialty B-Trait I-Trait B-Specialty B-Insurance B-Trait O
سلام یک خانم چشم پزشک فوق تخصص خوب تو شیراز سمت ارم پیدا کن که برای لیزر بهم 30 شهریور مشاوره مجازی بده چشمم دوربینه. طرف قرارداد تأمین اجتماعی و خوش اخلاق و شوخ باشه ,O O B-Gender B-Specialty I-Specialty B-ScientificRate I-ScientificRate B-Trait O B-City O B-Neighborhood O O O O B-Service O O B-Appointment O B-VisitType O O O O O B-Insurance I-Insurance B-Condition B-Trait I-Trait B-Condition B-Trait O
سلام. یک دندون پزشک تو اصفهان سمت چهارباغ عباسی برام پیدا کن که کامپوزیت برای از بین بردن فاصله بین دندان ها انجام بده و اولین نوبت آزاد فردا ویزیت حضوری بشم و کمتر از یک ساعت معطل شم و خوش اخلاق و با حوصله باشه,O B-WaitingTime O O O B-City O B-Neighborhood I-Neighborhood O O O O B-Service O B-WaitingTime B-Condition O B-Condition I-Condition B-Condition I-Condition O O B-Service O O O B-Appointment O B-VisitType O B-Service B-WaitingTime I-WaitingTime B-WaitingTime I-WaitingTime O O B-Service B-Trait I-Trait B-Service B-Neighborhood B-Trait O
سلام یک فوق تخصص  اورولوژی  توی شیراز ، خیابان زند،برای درمان سنگ کلیه برام پیدا کن که  در اسرع وقت ،حضوری ویزیت بشم  و طرف قرار داد تامین اجتماعی باشه و  کمتر از نیم ساعت ویزیت بشم .,O O B-ScientificRate I-ScientificRate B-Specialty O B-City O B-Neighborhood O O B-Condition I-Condition O O O O B-Appointment I-Appointment B-Appointment O O O B-Specialty O O O B-Insurance I-Insurance O B-Specialty B-WaitingTime B-City B-WaitingTime I-WaitingTime O O O
سلام یک متخصص جراح ترجیحا آقا توی شیراز بلوار کریم خان زند برام پیدا کن که طرف قرارداد بانک ملی باشه و مشکل انسداد روده من رو رفع کنه حداکثر تا فردا بتونه من رو بصورت حضوری ویزیت کنه ,O O B-ScientificRate B-Specialty O B-Gender O B-City B-Neighborhood I-Neighborhood B-Neighborhood I-Neighborhood O O O O O O B-Insurance I-Insurance O B-Condition O B-Condition I-Condition O B-Condition O O O O B-Appointment O O B-Condition O B-VisitType O O
سلام. یه دکتر تخصص خوب و با تجربه خوب و خوش اخلاق میخوام که بتونه مشکل ناراحتی معده رو حل کنه. شیراز باشه و سمت باهنر جنوبی باشه. صبح زود هم بشینه و نوبت دهی آنلاین هم داشته باشه. بیمه هم قبول کنه. بیشتر از یک ساعت معطل نشم.,O O O B-ScientificRate B-Trait B-Neighborhood I-Neighborhood B-Trait I-Trait B-Neighborhood B-Trait I-Trait O O O O B-Condition I-Condition O O O B-City O B-Neighborhood O B-Neighborhood I-Neighborhood O O O O O B-Neighborhood O O B-VisitType O O O O O O O O B-City B-WaitingTime I-WaitingTime O O
سلام من یک دندون پزشک خانم در کرمان به سمت بلوار پزشک میخوام که قبل 29 شهریور ارتودنسی انجام بده کمتر از یک ساعت نگهم داره,O O B-WaitingTime B-Specialty B-Neighborhood B-Gender O B-City O O B-Neighborhood I-Neighborhood O O O O B-Appointment O O O B-WaitingTime I-WaitingTime B-WaitingTime I-WaitingTime O O
سلام من یک دندون پزشک فوق تخصص برای کج بودن دندان در اراک به سمت میدان امام میخوام که خوش اخلاق باشه و ارتودنسی انجام بده و بیمه دانا قبول کنه,O O O B-Specialty I-Specialty B-ScientificRate I-ScientificRate O B-Condition I-Condition B-Condition O B-City O O B-Neighborhood I-Neighborhood O O B-Trait I-Trait O B-Condition O O O B-Condition O B-Insurance O O
سلام یک فوق تخصص گوارش زن توی جهرم  به من معرفی کن برای مشکل معده درد طرف قرارداد بانک ملت باشه و امروز من رو بصورت حضوری ویزیت کنه نیم ساعت معطل بشم فقط,O O B-ScientificRate I-ScientificRate B-Specialty B-Gender O B-City O O O O O O B-Condition I-Condition O O B-Insurance I-Insurance O B-Specialty B-Appointment O B-Appointment O B-VisitType O O B-WaitingTime I-WaitingTime O O O
‌سلام یک دکتر مغز و اعصاب فوق تخصص برای میگرن ویزیت تلفنی خیلی معطل نشم و پزشک آرام شوخ طبع و مهربونی باشه . بیمه ام تامین اجتماعیه,O O O B-Specialty I-Specialty B-Specialty B-ScientificRate I-ScientificRate O B-Condition O B-VisitType O O O B-Specialty O O B-Trait I-Trait B-Specialty O O O O B-Insurance I-Insurance O
سلام یک چشم پزشک خانم در بندرعباس به سمت چهار راه مرادی میخوام که خوش اخلاق و شوخ باشد,O O O O B-Gender B-City I-City O O B-Neighborhood I-Neighborhood B-Neighborhood O O B-Trait I-Trait B-Trait I-Trait O
چشمم ضعیف شده یه بینایی سنجی در کیش میخوام که تا آخر شهریور,O B-Condition O O B-Specialty I-Specialty O B-City O O O B-Appointment I-Appointment
سلام یک متخصص  گوش و حلق و بینی  برای  اختلالات گوش میانی  توی  کلاردشت  برام پیدا کن که  حداکثر تا ۱۵ شهریور ۱۴۰۳منو به صورت  حضوری ویزیت کنه و طرف قرار داد بیمه سلامت باشه   و کمتر از یک ساعت در مطب معطل بشم .,B-Insurance B-WaitingTime B-ScientificRate B-Condition I-Condition B-Specialty B-Condition B-Specialty O B-Condition I-Condition B-Condition O B-City O O O O O O B-Appointment I-Appointment O O O B-VisitType B-Service O B-Condition O O O O B-Insurance O B-Condition B-WaitingTime I-WaitingTime B-WaitingTime I-WaitingTime O O O O O
سلام .یک خانم  متخصص غدد  خوش برخورد در شهر قزوین  که دارای بورد  تخصصی باشد ،برای درمان کم کاری تیروئید برام پیدا کن که طرف قرارداد بیمه ارتش باشد و به صورت آنلاین و حداکثر تا فردا  منو ویزیت کنه ,O O B-Gender B-ScientificRate B-Specialty B-Trait I-Trait O O B-City O O O O O O O B-Condition I-Condition B-Condition O O O O O O O B-Insurance O B-Condition O O B-VisitType B-Condition O O B-Appointment O B-Service O
سلام ، یک دندانپزشک تو شیراز سمت فرگاز برام پیدا کن که جرم گیری کنم و اولین نوبت آزاد فردا باشه و زیاد معطل نشم و خوش اخلاق باشه,O O O B-Specialty O B-City O B-Neighborhood O O O O B-Service I-Service O B-Trait O O O B-Appointment O B-Trait O O O B-Trait I-Trait B-Trait O
سلام. یک چشم پزشک فوق تخصص آقا تو رشت سمت میدون شهرداری برام پیدا کن که عمل جراحی چشم برای برداشتن عینک انجام بده  و حضوری ویزیتم کنه و اولین نوبت آزادش فردا و میزان معطلی تو مطبش کمتر از نیم ساعت باشه و خوش قیافه باشه.,O O B-Specialty I-Specialty B-ScientificRate I-ScientificRate B-Gender O B-City O B-Neighborhood I-Neighborhood O O O O B-Service I-Service B-Specialty B-Service I-Service B-Service O O B-Neighborhood B-VisitType O O B-Neighborhood O O O B-Appointment B-Neighborhood O O O O B-WaitingTime I-WaitingTime B-WaitingTime I-WaitingTime O B-Neighborhood B-Trait I-Trait O
سلام.برای پارگی شبکیه چشم یک پزشک  فوق تخصص مرد تو شیراز برام پیدا کن که کارش خوب باشه,O B-Condition I-Condition B-Condition O O B-ScientificRate I-ScientificRate B-Gender O B-City O O O O O B-Trait O
سلام یک روان پزشک خانوم تو یزد برام پیدا کن که توانمند باشه و با حوصله باشه,O O B-Specialty I-Specialty B-Gender B-Trait B-City O O O O B-Trait O B-Specialty B-Trait I-Trait O
متخصص روماتولوژی با تجربه چند ساله در مشهد برای ویزیت بیمار با نقرس که بیمه تامین اجتماعی هم قبول کند و در هفته جاری وقت داشته باشد پیدا کن,O B-Specialty O B-Trait I-Trait B-Trait O B-City O B-VisitType O O B-Condition O O B-Insurance I-Insurance O O O B-Specialty O B-Appointment I-Appointment O O O O O
سلام. یک ارتوپد متخصص یا فوق تخصص تو شاهرود سمت بیست و دو بهمن واسه این هفته برام پیدا کن که خوش اخلاق و با حوصله باشه و از در تشخیص بیماری خوب عمل کنه و میزان معطلی در مطب کمتر از یک ساعت باشه,O B-WaitingTime B-Specialty B-ScientificRate I-ScientificRate B-ScientificRate I-ScientificRate B-Specialty B-City O B-Neighborhood B-City B-Neighborhood I-Neighborhood O B-Appointment I-Appointment O O O O B-Trait I-Trait B-City B-Trait I-Trait O B-City B-WaitingTime O O O O O O B-City O O O O B-WaitingTime I-WaitingTime B-WaitingTime I-WaitingTime O
پزشک فوق تخصص اورولوژی مجرب برای عمل سنگ مثانه که در تهران باشه (غیر جنوب تهران)  و حداکثر تا یک ماه دیگه وقت عمل داشته باشه,O B-ScientificRate I-ScientificRate B-Specialty B-Trait O B-Service I-Service B-Service O O B-City O O B-Neighborhood O B-Neighborhood B-Appointment O B-Appointment I-Appointment B-Appointment O B-Service O O
سلام.لطفا برای فردا برام از یک فوق تخصص قلب و عروق که خوش اخلاق باشه،  تو تهران خیابون ولیعصر نوبت بگیر که نوار قلب بگیره و بیمه تامین اجتماعی رو پوشش بده .,O O B-Appointment O O O B-ScientificRate I-ScientificRate B-Specialty B-Neighborhood B-Specialty O B-Trait I-Trait O O B-City B-Neighborhood I-Neighborhood O O O B-Service B-Specialty O B-Neighborhood O B-Insurance I-Insurance B-Specialty O O O
سلام آدرس یک چشم پزشک کاربلد سمت چهارراه دانشگاه که برای فردا وقت بده ,O O O B-Specialty I-Specialty B-Trait O B-Neighborhood I-Neighborhood O O B-Appointment O O
سلام آدرس یک مرد چشم پزشک فوق تخصص کاربلد سمت چهارراه دانشگاه بندرعباس که برای فردا وقت بده رو میخوام واسه معاینه و نسخه واسه عینک جدید که بیمه البرز ساپورت کنه و کمتر از یک ساعت منتظرم بذاره,O O B-WaitingTime B-Gender B-Specialty I-Specialty B-ScientificRate I-ScientificRate O O O B-Neighborhood B-City O O B-Appointment O O O O B-Service I-Service B-Service I-Service B-Service I-Service B-Service O O B-Insurance O O B-Service B-WaitingTime I-WaitingTime B-WaitingTime I-WaitingTime O O
سلام یک متخصص ارتوپد سمت زند لطفا معرفی کنید حاذق باشه و بیمه تامین اجتماعی قبول کنه و زود نوبت بده,O O B-ScientificRate B-Specialty O B-Neighborhood O O O B-Trait O B-Specialty O B-Insurance I-Insurance O O B-Specialty O O O
سلام. لطفا یک ارتوپد آقا تو لار تو سی متری هلال احمر برام پیدا کن که ریپورت MRI من رو تفسیر کنه و خوش اخلاق باشه,O O O B-Specialty B-Gender B-Specialty B-City B-Specialty B-Neighborhood I-Neighborhood B-Neighborhood I-Neighborhood O O O O B-Service I-Service O O B-Service O B-Specialty B-Trait I-Trait O
سلام یک دکتر جراح مغز و اعصاب تو شیراز برام پیدا کن,O O O B-Specialty I-Specialty B-Specialty I-Specialty O B-City O O O
سلام برای کیست در گردن در اسرع وقت یک دکتر تو شیراز برام پیدا کن که بیمه تامین اجتماعی قبول کنه,O O B-Condition I-Condition B-Condition I-Condition B-Appointment I-Appointment O O O B-City O O O O O B-Insurance I-Insurance O O
سلام. یک دکتر متخصص ارولوژی در تهران، اطراف دانشگاه علم و صنعت پیدا کن که آدم با تجربه ای باشه.,O O O B-ScientificRate B-Specialty O O O B-Neighborhood I-Neighborhood B-Neighborhood I-Neighborhood O O O O B-Trait I-Trait O O
سلام. واسه التهاب پروستات یک ارولوژیست در تهرانپارس پیدا کن که آدم با تجربه ای باشه.,O O B-Condition I-Condition O O O B-Neighborhood O O O O B-Trait I-Trait O O
کمر درد دارم,B-Condition I-Condition O
کمرم درد میکنه یه ارتوپد مرد توی لار برام پیدا کن,O B-Condition O O B-Specialty B-Gender O B-City O O O
سلام یک متخصص تغذیه بهم که اکثر مراجعه کننده هایش ازش راضی باشن و یک فرد مشهور باشد را در اصفهان بهم معرفی کن,O O B-ScientificRate B-Specialty O O O B-Trait I-Trait O O B-Trait O B-Trait O O B-Trait O B-Trait O B-City O O B-Trait
برای چشم درد و تنگی زاویه دید یک دکتر فوق تخصص در شهرک بوستان شهر لارستان که حضوری ویزیتم کنه و با بیمه تامین اجتماعی کار کنه پیدا کن,O B-Condition I-Condition B-Condition I-Condition B-Condition I-Condition O O B-ScientificRate I-ScientificRate B-Condition B-Neighborhood I-Neighborhood B-Neighborhood B-City O B-VisitType O O B-Condition O O B-Insurance I-Insurance O O O O
سلام یک دکتر گوارش تو اصفهان برام پیدا کن که آندوسکوپی انجام بده و خوش اخلاق باشه,O O O B-Specialty O B-City O O O O B-Service O O B-Specialty B-Trait I-Trait O
لطفا یک پزشک ارتوپد  خوب تو شیراز سمت خیابان معدل برام پیدا کن که بتونه مشکل زانو درد من رو بدون معطلی در مطب  حل کنه و خوش اخلاق باشه .,O O O B-Specialty O B-Specialty B-City O B-Neighborhood I-Neighborhood O O O O O O B-Condition I-Condition O O O O B-Condition O O O B-Condition B-Trait I-Trait O O
سلام، من زیاد خرو و پف میکنم یک دکتر متخصص در اصفهان محله دولت آباد برخوار ترجیحا خانم و به صورت حضوری و بیمه خدمات درمانی و خوش اخلاق میخواهم,O O O B-Condition I-Condition B-Condition O O O B-ScientificRate B-Insurance B-City O B-Neighborhood I-Neighborhood B-Neighborhood O B-Gender B-Condition O O B-VisitType B-Condition O B-Insurance I-Insurance B-Condition B-Trait I-Trait O
یک متخصص خانم طب سوزنی برای لاغری در بزرگمهر اصفهان می خوام به صورت آنلاین تا فردا و با معطلی کم و بیمه تامین اجتماعی نیز قبول کند.,O B-ScientificRate B-Gender B-Specialty I-Specialty O B-Condition O B-Neighborhood B-City B-Insurance O O O B-VisitType B-Insurance B-Appointment B-Specialty O O B-WaitingTime B-Specialty O B-Insurance I-Insurance O O O
سلام. یک متخصص قلب خانم  تو اصفهان محدوده بزرگمهر برام پیدا کن که فردا بهم نوبت بده و تو مطب نوار قلب بگیره و معطلیش کمتر نیم ساعت باشه و با تامین اجتماعی قرارداد داشته باشه ,O O B-ScientificRate B-Specialty B-Gender O B-City O B-Neighborhood O O O O B-Appointment O O O B-Service O O B-Service B-Specialty O B-Service O B-WaitingTime I-WaitingTime B-WaitingTime O B-Service O B-Insurance I-Insurance O O O
دست چپم درد میکنه یه خانم دکتر آملی بهم معرفی کن که امروز معاینه ام کنه,B-Condition O B-Condition O O B-Gender O O O O O O B-Appointment B-Service B-Appointment O
سلام یک چشم پزشک خوب تو شیراز سمت ارم پیدا کن که کار لیزر انجام بده و خوش اخلاق باشه ,O O B-Specialty I-Specialty O O B-City O B-Neighborhood O O O O B-Service O O B-Trait I-Trait B-Trait O
سلام یک دکتر اطفال خوب در مشهد پیدا کن,O O O B-Specialty B-Trait O B-City O O
